kmer.hits,kmer.p,count.q1,count.mean,count.median,count.q3,count.max,kmer.p.adj,significant
44,0.390625,26,56.2412109375,53,76,534,0.4921875,0
87,0.4921875,49,95.1396484375,87.5,128,1128,0.4921875,0
